s,v
20728.804819037756,20.477104384667953
20732.897606462815,20.450769865937847
20736.985133087157,20.42449637747906
20741.067411096345,20.398283714410134
20745.14445263506,20.372131672764798
20749.216269807286,20.346040049486856
20753.28287467648,20.320008642425112
20757.344279265755,20.29403725032834
20761.40049555807,20.268125672840274
20765.451535496406,20.242273710494633
20769.497410983928,20.216481164710192
20773.538133884176,20.190747837785867
20777.573716021245,20.16507353289585
20781.604169179944,20.139458054084763
20785.62950510598,20.11390120626285
20789.649735506126,20.0884027952012
20793.664872048397,20.062962627527014
20797.674926362222,20.037580510718872
20801.679910038605,20.012256253102056
20805.6798346303,19.98698966384391
20809.67471165198,19.96178055294921
20813.6645525804,19.93662873125557
20817.64936885457,19.91153401042889
20821.62917187591,19.88649620295882
20825.60397300842,19.861515122154255
20829.57378357885,19.83659058213888
20833.53861487685,19.8117223978467
20837.498478155136,19.786910385017666
20841.453384629658,19.762154360193254
20845.40334547975,19.737454140712128
20849.348371848293,19.71280954470581
20853.288474841873,19.688220391094376
20857.22366553094,19.663686499582195
20861.15395494996,19.639207690653677
20865.079354097583,19.614783785569056
20868.999873936777,19.59041460636021
20872.915525394994,19.56609997582649
20876.82631936433,19.541839717530596
20880.73226670166,19.51763365579446
20884.63337822881,19.493481615695163
20888.529664732683,19.469383423060894
20892.421136965437,19.445338904466908
20896.307805644607,19.421347887231526
20900.18968145327,19.397410199412157
20904.06677504019,19.373525669801353
20907.939097019964,19.349694127922874
20911.80665797316,19.325915404027793
20915.66946844647,19.302189329090613
20919.52753895286,19.278515734805424
20923.3808799717,19.254894453582068
20927.229501948914,19.23132531854234
20931.07341529712,19.207808163516212
20934.912630395775,19.184342823038076
20938.74715759131,19.16092913234301
20942.577007197284,19.137566927363082
20946.402189494493,19.11425604472365
20950.22271473114,19.09099632173972
20954.038593122954,19.0677875964123
20957.84983485334,19.044629707424782
20961.656450073497,19.021522494139365
20965.45844890257,18.99846579659347
20969.255841427777,18.97545945549621
20973.04863770455,18.952503312224852
20976.835671756653,18.91783720882133
20980.615780135435,18.88324657900236
20984.388977908184,18.848731148488774
20988.155280087463,18.81429064431536
20991.914701631376,18.779924794822982
20995.667257443823,18.74563332965077
20999.41296237476,18.711415979728322
21003.15183122046,18.677272477268016
21006.883878723762,18.643202555757334
21010.609119574332,18.609205949951264
21014.327568408913,18.575282395864743
21018.039239811576,18.54143163076517
21021.74414831397,18.50765339316495
21025.442308395566,18.473947422814117
21029.133734483916,18.440313460692987
21032.818440954885,18.406751249004877
21036.496442132902,18.373260531168867
21040.1677522912,18.339841051812627
21043.83238565206,18.30649255676527
21047.49035638704,18.273214793050286
21051.141678617234,18.240007508878502
21054.786366413486,18.206870453641102
21058.42443379664,18.173803377902694
21062.055894737772,18.14080603339443
21065.680763158412,18.107878173007162
21069.29905293079,18.075019550784667
21072.91077787806,18.0422299219169
21076.515951774523,18.009509042733296
21080.114588345867,17.976856670696137
21083.706701269377,17.944272564393945
21087.29230417417,17.911756483534926
21090.87141064142,17.87930818894047
21094.444034204567,17.84692744253869
21098.010188349555,17.81461400735799
21101.569886515044,17.782367647520704
21105.12314209262,17.75018812823678
21108.669968427024,17.71807521579746
21112.210378816362,17.686028677569077
21115.744386512317,17.65404828198683
21119.27200472037,17.62213379854865
21122.793246600006,17.59028499780906
21126.308125264924,17.558501651373142
21129.81665378325,17.52678353189047
21133.318845177746,17.495130413049147
21136.814712426007,17.463542069569854
21140.304268460684,17.43201827719994
21143.787526169675,17.400558812707562
21147.264498396333,17.369163453875853
21150.73519793967,17.337831979497142
21154.199637554557,17.306564169367217
21157.65782995192,17.275359804279603
21161.109787798952,17.244218666019904
21164.55552371929,17.21314053736017
21167.99505029323,17.182125202053317
21171.428380057918,17.151172444827555
21174.855525507537,17.12028205138089
21178.276499093514,17.089453808375637
21181.691313224695,17.05868750343299
21185.09998026755,17.027982925127603
21188.50251254636,16.997339862982237
21191.898922343407,16.96675810746242
21195.28922189915,16.93623744997116
21198.673423412434,16.90577768284367
21202.051539040654,16.875378599342167
21205.423580899955,16.84503999365066
21208.789561065405,16.81476166086981
21212.149491571192,16.784543397011806
21215.503384410793,16.754384998995285
21218.851251537155,16.724286264640263
21222.193104862887,16.694246992663142
21225.52895626042,16.664266982671705
21228.858817562203,16.634346035160178
21232.18270056087,16.604483951504303
21235.500617009413,16.57468053395646
21238.81257862137,16.544935585640808
21242.11859707099,16.515248910548465
21245.418683993397,16.485620313532724
21248.712850984783,16.45604960030429
21252.001109602556,16.426536577426557
21255.28347136553,16.397081052310913
21258.55994775408,16.36768283321208
21261.830550210325,16.33834172922347
21265.095290138273,16.309057550272595
21268.354178904014,16.279830107116492
21271.60722783586,16.250659211337176
21274.854448224527,16.221544675337128
21278.095851323294,16.192486312334818
21281.331448348163,16.163483936360247
21284.561250478022,16.134537362250523
21287.785268854812,16.10564640564547
21291.003514583674,16.076810882983253
21294.21599873312,16.04803061149605
21297.42273233519,16.019305409205728
21300.623726385606,15.990635094919579
21303.81899184392,15.96201948822605
21307.00853963369,15.933458409490525
21310.192380642624,15.904951679851122
21313.37052572273,15.876499121214524
21316.542985690478,15.84810055625183
21319.709771326943,15.819755808394438
21322.870893377967,15.79146470182996
21326.0263625543,15.763227061498146
21329.17618953176,15.735042713086848
21332.320384951374,15.706911483028016
21335.458959419528,15.678833198493694
21338.591923508116,15.650807687392074
21341.71928775469,15.622834778363552
21344.841062662606,15.594914300776816
21347.957258701157,15.56704608472496
21351.067886305733,15.539229961021631
21354.172955877955,15.511465761197178
21357.272477785824,15.483753317494852
21360.36646236386,15.456092462867014
21363.454919913245,15.428483030971368
21366.53786070196,15.400924856167226
21369.615294964926,15.373417773511788
21372.687232904154,15.345961618756453
21375.753684688865,15.318556228343148
21378.81466045564,15.29120143940068
21381.870170308553,15.263897089741118
21384.920224319314,15.236643017856187
21387.964832527392,15.209439062913695
21391.004004940158,15.182285064753982
21394.037751533022,15.155180863886377
21397.06608224956,15.128126301485695
21400.089007001647,15.10112121938875
21403.106535669594,15.074165460090885
21406.118678102277,15.04725886674253
21409.126032117267,15.026281283145774
21412.129194431946,15.00534186363639
21415.12817266816,14.984440498495388
21418.122974425853,14.963577078422944
21421.113607283147,14.942751494536399
21424.100078796437,14.92196363836827
21427.08239650046,14.901213401864275
21430.060567908386,14.880500677381358
21433.03460051189,14.859825357685736
21436.004501781255,14.839187335950957
21438.970279165427,14.818586505755965
21441.931940092112,14.798022761083173
21444.889491967853,14.777495996316556
21447.842942178107,14.757006106239748
21450.792298087334,14.736552986034152
21453.737567039065,14.716136531277058
21456.66166893737,14.524882451779561
21459.547554083394,14.333969008455364
21462.395290208806,14.143392245652343
21465.20494425662,13.953148232500487
21467.976582386127,13.76323306256099
21470.71026997773,13.573642853479326
21473.406071637743,13.384373746642208
21476.06405120309,13.195421906838416
21478.684271745966,13.006783521923364
21481.266795578405,12.81845480248739
21483.811684256805,12.630431981527678
21486.318998586372,12.442711314123763
21488.788798625497,12.255289077116544
21491.221143690087,12.068161568790753
21493.61609235782,11.88132510856082
21495.973702472344,11.694776036660063
21498.294031147394,11.508510713833159
21500.57713477088,11.322525521031833
21502.823069008893,11.136816859113702
21505.03188880966,10.951381148544227
21507.203648407423,10.766214829101711
21509.33840132629,10.581314359585303
21511.436200384003,10.396676217525922
21513.497097695647,10.212296898900098
21515.52114467732,10.028172917846629
21517.508392049745,9.844300806386036
21519.458889841797,9.660677114142748
21521.372687394018,9.47729840806998
21523.249833362042,9.294161272177245
21525.090375719985,9.111262307260455
21526.894361763774,8.928598130634573
21528.661838114425,8.746165375868747
21530.392850721266,8.563960692523914
21532.08744486511,8.381980745892784
21533.745665161372,8.200222216742208
21535.367555563153,8.018681801057845
21536.95315936424,7.837356209791106
21538.50251920208,7.656242168608333
21540.015677060706,7.47533641764216
21541.492674273595,7.294635711245017
21542.933551526494,7.114136817744743
21544.33834886019,6.933836519202263
21545.707105673227,6.75373161117128
21547.03986072459,6.573818902459961
21548.336652136328,6.394095214894564
21549.597517396127,6.214557383084965
21550.822493359854,6.035202254192063
21552.011616254043,5.856026687697008
21553.16492167833,5.6770275551722245
21554.282444607852,5.49820174005419
21555.3642193956,5.319546137417937
21556.41027977472,5.1410576537532355
21557.420658860767,4.962733206742424
21558.395389153946,4.784569725039859
21559.334502541256,4.606564148052938
21560.238030298635,4.42871342572467
21561.10600309304,4.251014518317762
21561.93845098449,4.07346439620017
21562.735403428072,3.8960600396321117
21563.49688927589,3.7187984385544763
21564.222936778984,3.5416765923786233
21564.9135735892,3.3646915097775247
21565.568826761028,3.187840208478223
21566.18872275338,3.0111197150555773
21566.77328743136,2.834527064727257
21567.322546067946,2.658059301149963
21567.836523345683,2.4817134762168402
21568.31524335829,2.30548664985605
21568.75872961226,2.1293758898304764
21569.167005028394,1.953378271538536
